station_id,station_name,city,total_chargers,latitude,longitude,opening_date
S001,Connaught Place,Gurgaon,6,28.575315,77.240909,2022-01-27
S002,Cyber Hub,Ghaziabad,5,28.504167,77.080616,2022-02-23
S003,Sector 18,Noida,7,28.356387,77.178178,2021-10-16
S004,DLF Phase 3,Gurgaon,7,28.442358,77.158334,2022-01-14
S005,Rajouri Garden,Delhi,9,28.44641,77.334469,2021-08-19
S006,Karol Bagh,Delhi,9,28.623305,77.287814,2023-10-15
S007,MG Road,Delhi,9,28.593999,77.248928,2021-02-10
S008,Sector 62,Faridabad,6,28.683278,77.165877,2023-11-18
S009,Dwarka Sector 21,Gurgaon,7,28.419346,77.1847,2021-05-15
S010,Saket,Noida,7,28.506424,77.336102,2021-07-20
S011,Vasant Kunj,Delhi,4,28.422894,77.192814,2023-02-19
S012,Golf Course Road,Ghaziabad,6,28.652145,77.0604,2023-07-19
S013,Indirapuram,Noida,8,28.520062,77.068509,2023-11-23
S014,Lajpat Nagar,Delhi,6,28.433177,77.016107,2023-12-08
S015,Sector 29,Delhi,8,28.57708,76.956255,2022-05-18
S016,Greater Kailash,Delhi,4,28.362525,77.119361,2022-02-11
S017,Udyog Vihar,Delhi,5,28.686914,77.107953,2023-03-16
S018,Sector 137,Gurgaon,7,28.529902,77.067395,2021-04-09
S019,Nehru Place,Gurgaon,4,28.50806,76.955632,2022-11-15
S020,Sohna Road,Delhi,7,28.720664,77.029537,2022-12-27
